Variety,Names,Bee,Bee_sd,Bumble,Bumble_sd,NSC,NSC_sd,Colour
SE01,Crystal Pink,0,0,0,0,0,0,pink
SE02,SE02,3.6,0.894427191,3,0.707106781,166.1606519,76.14521625,mix
SE03,SE03,1.6,1.140175425,0.2,0.447213595,33.19419161,12.22647688,red
SE04,SE04,0.4,0.894427191,0,0,0,0,red
SE05,SE05,8.8,4.868264578,6,4.527692569,182.2357384,87.67514766,red
SE06,SE06,1.4,2.19089023,0,0,98.8728375,33.44498905,mix
SE07,SE07,2,3.464101615,0.4,0.894427191,121.2358657,38.75085567,red
SE08,SE08,0,0,0,0,59.42265166,11.83279108,red
SE09,SE09,3.4,2.302172887,1.4,2.19089023,106.4228791,53.97710383,green
SE10,SE10,3,0.707106781,0,0,51.20925678,17.54889367,mix
SE11,SE11,13.8,5.630275304,4,4.847679857,136.5079297,35.56634806,mix
SE12,SE12,3.4,1.516575089,4.6,1.140175425,148.4365195,70.36363552,mix
SE13,SE13,1,1.224744871,0.4,0.547722558,0,0,mix
SE14,SE14,3.2,1.643167673,0.4,0.547722558,118.7424198,32.29587277,pink
SE15,SE15,2,1.58113883,1.4,1.949358869,140.1678211,50.04636945,pink
